index,fR,fGV,fSoil,year,lat_utm18n,lon_utm18n,lat_degrees,lon_degrees,photo_id,residue_type,cover_crop_residue,R_427,R_482,R_547,R_604,R_660,R_723,R_824,R_914,R_1209,R_1572,R_1661,R_1730,R_2164,R_2202,R_2259,R_2329,R_swir1,R_swir2,wi,ndti,swira,sindri,sidri,ndvi
0,0.54,0.02,0.44,5/15/2015,4300863.994,418223.8101,38.852802,-75.942429,IMG_0219.JPG,soy,No,0.091,0.106,0.145,0.179,0.205,0.256,0.301,0.324,0.404,0.434,0.434,0.424,0.381,0.376,0.367,0.352,0.434,0.375,1.157,0.073,0.248,0.012,0.009,0.189
1,0.56,0.02,0.42,5/15/2015,4300855.151,418220.4211,38.852722,-75.942467,IMG_0220.JPG,soy,No,0.096,0.112,0.150,0.184,0.211,0.263,0.310,0.335,0.411,0.441,0.440,0.430,0.387,0.385,0.374,0.358,0.440,0.382,1.154,0.071,0.248,0.015,0.011,0.190
2,0.59,0.02,0.39,5/15/2015,4300856.024,418221.8186,38.85273,-75.942451,IMG_0221.JPG,soy,No,0.095,0.112,0.151,0.185,0.212,0.263,0.310,0.334,0.410,0.439,0.438,0.428,0.387,0.383,0.373,0.358,0.439,0.381,1.152,0.071,0.244,0.014,0.010,0.188
3,0.51,0.02,0.47,5/15/2015,4300855.574,418222.4215,38.852726,-75.942444,IMG_0222.JPG,soy,No,0.095,0.112,0.151,0.185,0.212,0.263,0.310,0.334,0.410,0.439,0.438,0.428,0.387,0.383,0.373,0.358,0.439,0.381,1.152,0.071,0.244,0.014,0.010,0.188
4,0.52,0.02,0.45,5/15/2015,4300860.228,418223.1637,38.852768,-75.942436,IMG_0223.JPG,soy,No,0.091,0.106,0.144,0.178,0.205,0.257,0.302,0.327,0.407,0.437,0.437,0.428,0.383,0.379,0.370,0.354,0.437,0.377,1.159,0.073,0.252,0.013,0.009,0.192
5,0.59,0.02,0.39,5/15/2015,4300867.434,418223.8456,38.852833,-75.942429,IMG_0224.JPG,soy,No,0.091,0.106,0.145,0.179,0.205,0.256,0.301,0.324,0.404,0.434,0.434,0.424,0.381,0.376,0.367,0.352,0.434,0.375,1.157,0.073,0.248,0.012,0.009,0.189
6,0.55,0.02,0.42,5/15/2015,4300868.635,418225.854,38.852844,-75.942406,IMG_0225.JPG,soy,No,0.090,0.105,0.144,0.179,0.205,0.255,0.300,0.323,0.401,0.431,0.431,0.421,0.379,0.374,0.366,0.351,0.431,0.373,1.156,0.072,0.245,0.011,0.008,0.189
7,0.52,0.02,0.46,5/15/2015,4300874.627,418225.9158,38.852898,-75.942406,IMG_0226.JPG,soy,No,0.091,0.107,0.146,0.181,0.207,0.256,0.301,0.324,0.401,0.429,0.429,0.419,0.378,0.373,0.365,0.351,0.429,0.372,1.153,0.071,0.240,0.011,0.008,0.185
8,0.52,0.02,0.46,5/15/2015,4300879.6,418227.9631,38.852943,-75.942383,IMG_0227.JPG,soy,No,0.093,0.109,0.148,0.182,0.209,0.257,0.302,0.324,0.400,0.428,0.426,0.417,0.378,0.374,0.366,0.352,0.427,0.372,1.147,0.068,0.230,0.011,0.008,0.182
9,0.52,0.03,0.45,5/15/2015,4300932.376,418200.7375,38.853416,-75.942703,IMG_0233.JPG,soy,No,0.088,0.101,0.136,0.168,0.195,0.244,0.292,0.315,0.396,0.424,0.424,0.414,0.369,0.367,0.357,0.342,0.424,0.364,1.164,0.076,0.252,0.013,0.009,0.200
10,0.57,0.02,0.41,5/15/2015,4300932.376,418200.7375,38.853416,-75.942703,IMG_0234.JPG,soy,No,0.088,0.101,0.136,0.168,0.195,0.244,0.292,0.315,0.396,0.424,0.424,0.414,0.369,0.367,0.357,0.342,0.424,0.364,1.164,0.076,0.252,0.013,0.009,0.200
11,0.52,0.02,0.45,5/15/2015,4300931.135,418202.7207,38.853405,-75.94268,IMG_0235.JPG,soy,No,0.089,0.102,0.138,0.170,0.197,0.247,0.296,0.319,0.398,0.425,0.424,0.414,0.371,0.368,0.359,0.344,0.425,0.366,1.161,0.075,0.249,0.013,0.009,0.199
12,0.53,0.03,0.44,5/15/2015,4300928.569,418203.9959,38.853382,-75.942665,IMG_0236.JPG,soy,No,0.087,0.100,0.135,0.167,0.194,0.243,0.292,0.315,0.396,0.425,0.425,0.415,0.371,0.368,0.359,0.343,0.425,0.366,1.163,0.075,0.252,0.013,0.010,0.201
